Model,n_features,rows_used_train,folds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
RandomForest (10 vars),10,49188,5,78720.49682567554,2365.130499484588,45634.299883790154,734.8284341091259,0.9203664964761122,0.005007051572812694
RandomForest (5 vars) + log(y),5,49188,5,84377.06342048841,1828.9119156156896,49490.75581228729,620.40282999808,0.9085429887622747,0.004479075243789355
LR (area),1,49188,5,134684.95050407885,2855.9984132850796,91832.37224492831,641.068839239162,0.7669962430280433,0.011099940110575293
"DecisionTree (2 vars, depth=2)",2,49188,5,157806.0869545408,1623.6176768034366,109810.90747815112,205.58969057475696,0.680188756519256,0.010864214954123874
Benchmark Dummy (median),1,49188,5,287784.4674201518,3328.14338772147,171624.9776458944,2217.1415925999445,-0.06297343491202674,0.004619754697872066
