Model,n_features,RMSE,MAE,R2,rows_in,rows_used,dropped_missing,n_train,n_test
RandomForest (10 vars),10,78123.72286317842,44343.30243837088,0.9278704739073919,61486,61486,0,49188,12298
RandomForest (5 vars) + log(y),5,82805.37244149209,47838.186407745925,0.9189665653584655,61486,61486,0,49188,12298
LR (area),1,136250.91042546378,92747.06465597339,0.7806053448675447,61486,61486,0,49188,12298
"DecisionTree (2 vars, depth=2)",2,164244.91615958765,110684.41596042368,0.6811906212973682,61486,61486,0,49188,12298
Benchmark Dummy (median),1,300699.2037568819,174409.74142136934,-0.06859164325417821,61486,61486,0,49188,12298
